学号,科目,成绩
20230000,数据库原理,69
20230000,线性代数,81
20230000,计算机网络,76
20230000,概率统计,81
20230000,数据结构,71
20230000,操作系统,69
20230001,操作系统,57
20230001,线性代数,76
20230001,数据结构,92
20230001,数据库原理,66
20230001,高等数学,82
20230001,概率统计,74
20230002,线性代数,43
20230002,概率统计,79
20230002,操作系统,40
20230002,数据结构,42
20230002,数据库原理,71
20230002,计算机网络,53
20230002,高等数学,69
20230003,高等数学,52
20230003,操作系统,97
20230003,计算机网络,56
20230003,数据库原理,91
20230003,概率统计,77
20230003,数据结构,91
20230004,高等数学,68
20230004,线性代数,79
20230004,数据库原理,90
20230004,概率统计,49
20230004,计算机网络,75
20230004,数据结构,66
20230004,操作系统,83
20230005,概率统计,85
20230005,数据结构,77
20230005,操作系统,86
20230005,数据库原理,81
20230005,计算机网络,57
20230005,高等数学,75
20230006,数据库原理,91
20230006,线性代数,94
20230006,计算机网络,77
20230006,概率统计,68
20230006,高等数学,75
20230006,操作系统,94
20230006,数据结构,69
20230007,线性代数,100
20230007,计算机网络,55
20230007,数据库原理,57
20230007,数据结构,76
20230007,操作系统,67
20230007,概率统计,82
20230008,线性代数,69
20230008,高等数学,94
20230008,计算机网络,69
20230008,数据结构,95
20230008,操作系统,67
20230008,概率统计,97
20230008,数据库原理,70
20230009,计算机网络,78
20230009,数据结构,54
20230009,概率统计,79
20230009,线性代数,60
20230009,数据库原理,85
20230009,操作系统,51
20230009,高等数学,87
20230010,操作系统,55
20230010,线性代数,84
20230010,概率统计,55
20230010,计算机网络,90
20230010,数据结构,76
20230010,数据库原理,83
20230011,线性代数,62
20230011,计算机网络,79
20230011,数据结构,63
20230011,操作系统,70
20230011,数据库原理,43
20230011,概率统计,83
20230012,线性代数,29
20230012,数据结构,84
20230012,操作系统,77
20230012,计算机网络,74
20230012,高等数学,61
20230012,概率统计,49
20230012,数据库原理,67
20230013,数据库原理,80
20230013,数据结构,77
20230013,高等数学,52
20230013,概率统计,59
20230013,操作系统,87
20230014,概率统计,78
20230014,数据库原理,93
20230014,计算机网络,78
20230014,操作系统,45
20230014,高等数学,82
20230015,线性代数,74
20230015,数据库原理,81
20230015,高等数学,81
20230015,计算机网络,59
20230015,操作系统,70
20230015,概率统计,67
20230016,数据库原理,87
20230016,计算机网络,61
20230016,操作系统,77
20230016,线性代数,69
20230016,概率统计,61
20230016,数据结构,95
20230017,高等数学,61
20230017,计算机网络,78
20230017,线性代数,76
20230017,数据库原理,63
20230017,数据结构,81
20230017,操作系统,54
20230017,概率统计,79
20230018,高等数学,66
20230018,数据结构,89
20230018,数据库原理,56
20230018,计算机网络,76
20230018,操作系统,82
20230019,数据结构,56
20230019,计算机网络,100
20230019,高等数学,58
20230019,概率统计,81
20230019,操作系统,82
20230019,线性代数,100
20230019,数据库原理,61
20230020,计算机网络,84
20230020,概率统计,63
20230020,数据结构,60
20230020,高等数学,57
20230020,数据库原理,82
20230020,操作系统,96
20230021,线性代数,88
20230021,概率统计,65
20230021,数据结构,83
20230021,数据库原理,69
20230021,操作系统,97
20230021,高等数学,78
20230021,计算机网络,81
20230022,数据库原理,87
20230022,线性代数,100
20230022,操作系统,40
20230022,概率统计,84
20230022,计算机网络,81
20230022,数据结构,99
20230022,高等数学,61
20230023,高等数学,85
20230023,数据库原理,91
20230023,操作系统,74
20230023,计算机网络,81
20230023,数据结构,47
20230023,线性代数,65
20230024,线性代数,68
20230024,高等数学,58
20230024,概率统计,79
20230024,计算机网络,79
20230024,操作系统,97
20230024,数据库原理,65
20230024,数据结构,94
20230025,数据库原理,85
20230025,概率统计,80
20230025,数据结构,52
20230025,计算机网络,55
20230025,操作系统,77
20230025,高等数学,61
20230025,线性代数,58
20230026,数据结构,59
20230026,线性代数,61
20230026,概率统计,64
20230026,操作系统,61
20230026,计算机网络,80
20230027,数据结构,66
20230027,高等数学,88
20230027,数据库原理,93
20230027,概率统计,81
20230027,线性代数,74
20230028,操作系统,79
20230028,概率统计,89
20230028,数据结构,53
20230028,数据库原理,75
20230028,线性代数,84
20230029,数据结构,75
20230029,高等数学,87
20230029,操作系统,85
20230029,线性代数,61
20230029,计算机网络,96
20230029,概率统计,63
20230029,数据库原理,96
20230030,线性代数,63
20230030,数据结构,37
20230030,计算机网络,63
20230030,数据库原理,78
20230030,操作系统,99
20230030,概率统计,84
20230031,数据库原理,70
20230031,操作系统,61
20230031,数据结构,53
20230031,线性代数,82
20230031,高等数学,62
20230031,概率统计,63
20230032,计算机网络,62
20230032,概率统计,64
20230032,数据库原理,78
20230032,操作系统,94
20230032,高等数学,75
20230033,概率统计,78
20230033,线性代数,53
20230033,计算机网络,78
20230033,数据结构,71
20230033,高等数学,63
20230034,计算机网络,56
20230034,概率统计,100
20230034,数据结构,86
20230034,操作系统,63
20230034,数据库原理,73
20230035,概率统计,69
20230035,操作系统,85
20230035,线性代数,76
20230035,计算机网络,91
20230035,数据库原理,100
20230036,线性代数,62
20230036,操作系统,64
20230036,数据结构,88
20230036,数据库原理,78
20230036,高等数学,100
20230036,计算机网络,54
20230036,概率统计,65
20230037,线性代数,86
20230037,高等数学,72
20230037,数据结构,41
20230037,数据库原理,95
20230037,计算机网络,93
20230037,概率统计,68
20230038,数据结构,52
20230038,操作系统,78
20230038,计算机网络,67
20230038,数据库原理,80
20230038,概率统计,44
20230038,高等数学,67
20230039,数据库原理,100
20230039,概率统计,63
20230039,计算机网络,58
20230039,操作系统,75
20230039,高等数学,75
20230040,数据结构,69
20230040,计算机网络,87
20230040,概率统计,58
20230040,数据库原理,76
20230040,线性代数,85
20230041,计算机网络,64
20230041,操作系统,49
20230041,数据结构,69
20230041,线性代数,47
20230041,概率统计,73
20230041,数据库原理,77
20230041,高等数学,74
20230042,计算机网络,74
20230042,数据结构,59
20230042,数据库原理,85
20230042,高等数学,81
20230042,操作系统,89
20230043,概率统计,74
20230043,数据结构,76
20230043,高等数学,64
20230043,操作系统,77
20230043,计算机网络,61
20230043,线性代数,95
20230043,数据库原理,53
20230044,操作系统,99
20230044,高等数学,73
20230044,数据库原理,59
20230044,线性代数,81
20230044,概率统计,92
20230044,计算机网络,100
20230045,线性代数,75
20230045,操作系统,75
20230045,计算机网络,98
20230045,高等数学,77
20230045,概率统计,86
20230045,数据库原理,66
20230046,数据结构,79
20230046,计算机网络,64
20230046,高等数学,74
20230046,数据库原理,79
20230046,线性代数,72
20230046,概率统计,64
20230047,操作系统,77
20230047,概率统计,68
20230047,数据结构,59
20230047,数据库原理,54
20230047,高等数学,75
20230048,操作系统,100
20230048,数据结构,51
20230048,数据库原理,76
20230048,计算机网络,83
20230048,概率统计,85
20230048,线性代数,56
20230049,线性代数,84
20230049,数据结构,61
20230049,数据库原理,81
20230049,高等数学,64
20230049,操作系统,65
20230050,数据结构,69
20230050,高等数学,61
20230050,数据库原理,62
20230050,操作系统,41
20230050,概率统计,50
20230050,计算机网络,58
20230050,线性代数,71
20230051,概率统计,77
20230051,数据库原理,71
20230051,计算机网络,73
20230051,操作系统,97
20230051,高等数学,69
20230052,操作系统,46
20230052,数据结构,79
20230052,数据库原理,71
20230052,计算机网络,69
20230052,概率统计,96
20230052,高等数学,97
20230052,线性代数,100
20230053,概率统计,54
20230053,操作系统,62
20230053,数据结构,88
20230053,数据库原理,58
20230053,线性代数,59
20230053,高等数学,99
20230054,数据结构,80
20230054,操作系统,68
20230054,概率统计,88
20230054,线性代数,65
20230054,数据库原理,85
20230054,高等数学,82
20230055,线性代数,75
20230055,计算机网络,47
20230055,操作系统,80
20230055,概率统计,90
20230055,数据库原理,84
20230055,高等数学,79
20230056,操作系统,92
20230056,数据库原理,75
20230056,高等数学,54
20230056,线性代数,96
20230056,数据结构,63
20230057,数据库原理,49
20230057,高等数学,59
20230057,线性代数,81
20230057,计算机网络,76
20230057,操作系统,100
20230057,数据结构,54
20230057,概率统计,87
20230058,操作系统,100
20230058,数据库原理,63
20230058,线性代数,99
20230058,概率统计,67
20230058,计算机网络,61
20230058,数据结构,63
20230059,概率统计,77
20230059,计算机网络,63
20230059,线性代数,78
20230059,数据结构,77
20230059,数据库原理,46
20230059,操作系统,54
20230059,高等数学,65
20230060,线性代数,75
20230060,计算机网络,96
20230060,数据结构,88
20230060,概率统计,62
20230060,高等数学,58
20230060,操作系统,87
20230060,数据库原理,59
20230061,数据库原理,93
20230061,计算机网络,71
20230061,操作系统,88
20230061,概率统计,85
20230061,高等数学,82
20230061,数据结构,90
20230061,线性代数,70
20230062,操作系统,97
20230062,数据库原理,82
20230062,数据结构,61
20230062,高等数学,69
20230062,计算机网络,82
20230062,概率统计,83
20230063,线性代数,67
20230063,概率统计,70
20230063,计算机网络,54
20230063,数据库原理,79
20230063,操作系统,84
20230063,高等数学,77
20230064,数据结构,100
20230064,线性代数,55
20230064,概率统计,62
20230064,计算机网络,76
20230064,高等数学,76
20230064,数据库原理,90
20230065,线性代数,72
20230065,数据库原理,90
20230065,数据结构,78
20230065,高等数学,72
20230065,概率统计,64
20230065,操作系统,69
20230065,计算机网络,68
20230066,线性代数,74
20230066,概率统计,68
20230066,高等数学,94
20230066,操作系统,62
20230066,数据库原理,87
20230067,高等数学,41
20230067,线性代数,73
20230067,数据结构,68
20230067,数据库原理,79
20230067,计算机网络,74
20230067,概率统计,90
20230067,操作系统,54
20230068,数据结构,70
20230068,操作系统,72
20230068,数据库原理,88
20230068,计算机网络,94
20230068,概率统计,81
20230069,计算机网络,85
20230069,线性代数,91
20230069,数据库原理,76
20230069,高等数学,68
20230069,操作系统,88
20230069,概率统计,64
20230069,数据结构,72
20230070,操作系统,53
20230070,计算机网络,70
20230070,线性代数,77
20230070,概率统计,92
20230070,高等数学,96
20230070,数据结构,84
20230071,计算机网络,45
20230071,数据结构,64
20230071,线性代数,72
20230071,操作系统,79
20230071,概率统计,47
20230071,数据库原理,79
20230071,高等数学,97
20230072,操作系统,62
20230072,高等数学,66
20230072,线性代数,86
20230072,数据库原理,53
20230072,概率统计,88
20230073,数据结构,74
20230073,高等数学,68
20230073,计算机网络,60
20230073,数据库原理,73
20230073,概率统计,85
20230074,操作系统,81
20230074,线性代数,84
20230074,概率统计,66
20230074,计算机网络,82
20230074,数据结构,76
20230074,数据库原理,78
20230075,高等数学,71
20230075,概率统计,77
20230075,数据结构,41
20230075,计算机网络,92
20230075,操作系统,59
20230075,线性代数,61
20230076,计算机网络,90
20230076,概率统计,62
20230076,数据结构,96
20230076,线性代数,63
20230076,操作系统,81
20230076,数据库原理,73
20230076,高等数学,87
20230077,概率统计,75
20230077,数据结构,89
20230077,操作系统,59
20230077,高等数学,69
20230077,数据库原理,66
20230077,计算机网络,72
20230078,操作系统,81
20230078,概率统计,84
20230078,计算机网络,76
20230078,线性代数,80
20230078,高等数学,70
20230079,计算机网络,63
20230079,概率统计,75
20230079,线性代数,100
20230079,高等数学,84
20230079,数据库原理,70
20230079,操作系统,73
20230079,数据结构,62
20230080,计算机网络,64
20230080,数据结构,63
20230080,概率统计,83
20230080,高等数学,82
20230080,数据库原理,74
20230080,操作系统,100
20230080,线性代数,76
20230081,操作系统,71
20230081,数据库原理,60
20230081,计算机网络,52
20230081,线性代数,100
20230081,概率统计,83
20230081,数据结构,78
20230082,操作系统,80
20230082,线性代数,92
20230082,数据库原理,50
20230082,概率统计,77
20230082,高等数学,83
20230082,数据结构,50
20230083,操作系统,84
20230083,高等数学,58
20230083,线性代数,66
20230083,数据库原理,100
20230083,数据结构,82
20230083,计算机网络,72
20230084,概率统计,87
20230084,数据结构,74
20230084,计算机网络,43
20230084,数据库原理,88
20230084,操作系统,48
20230084,线性代数,79
20230084,高等数学,79
20230085,高等数学,67
20230085,概率统计,89
20230085,线性代数,82
20230085,数据库原理,69
20230085,计算机网络,69
20230085,数据结构,53
20230085,操作系统,89
20230086,操作系统,74
20230086,线性代数,69
20230086,数据结构,100
20230086,高等数学,58
20230086,概率统计,57
20230086,计算机网络,58
20230086,数据库原理,76
20230087,高等数学,83
20230087,数据库原理,77
20230087,操作系统,42
20230087,概率统计,80
20230087,计算机网络,61
20230087,线性代数,59
20230088,概率统计,85
20230088,数据结构,63
20230088,高等数学,63
20230088,操作系统,70
20230088,数据库原理,83
20230088,线性代数,62
20230088,计算机网络,88
20230089,计算机网络,36
20230089,概率统计,59
20230089,数据库原理,87
20230089,高等数学,69
20230089,线性代数,63
20230089,操作系统,100
20230089,数据结构,63
20230090,高等数学,56
20230090,概率统计,59
20230090,计算机网络,100
